iter	Passed	Remaining
0	1004	400967
1	2139	425725
2	3246	429618
3	3908	386898
4	4516	356777
5	5146	337949
6	5785	324816
7	6530	319984
8	7089	308001
9	7805	304414
10	8552	302459
11	9389	303593
12	10081	300106
13	10755	296556
14	11632	298556
15	12428	298289
16	13266	298889
17	13976	296607
18	14734	295458
19	15362	291891
20	16068	289995
21	16825	289089
22	17500	286860
23	18151	284373
24	18701	280519
25	19317	277875
26	19912	275088
27	20612	273854
28	21172	270861
29	21941	270617
30	22535	268247
31	23276	267676
32	23816	264866
33	24645	265305
34	25269	263525
35	26047	263369
36	26755	262496
37	27394	260967
38	28254	261532
39	28820	259385
40	29462	257976
41	30113	256683
42	30697	254859
43	31545	255230
44	32280	254660
45	32989	253873
46	33733	253361
47	34318	251666
48	34902	250016
49	35522	248658
50	36173	247542
51	36871	246757
52	37496	245498
53	38207	244810
54	39015	244734
55	40444	248444
56	41692	250887
57	42973	253393
58	43997	254293
59	45292	256656
60	46414	257940
61	47351	258141
62	48196	257811
63	49055	257540
64	49825	256792
65	50716	256656
66	51442	255677
67	52254	255125
68	53007	254283
69	53646	252904
70	54373	251957
71	55204	251486
72	55909	250443
73	56598	249337
74	57241	248047
75	58093	247661
76	58669	246109
77	59287	244751
78	59951	243600
79	60688	242754
80	61392	241780
81	62121	240910
82	62831	239971
83	63570	239147
84	64110	237586
85	65071	237585
86	65698	236363
87	66465	235651
88	67172	234727
89	67955	234068
90	68593	232914
91	69215	231722
92	69864	230626
93	70409	229204
94	71168	228488
95	71760	227242
96	72523	226543
97	73160	225452
98	73721	224142
99	74456	223368
100	75170	222535
101	76021	222101
102	76843	221579
103	77534	220673
104	78325	220056
105	78915	218877
106	79729	218324
107	80479	217592
108	81246	216904
109	82064	216352
110	82773	215508
111	83357	214348
112	84044	213459
113	84699	212491
114	85419	211692
115	86097	210790
116	86728	209780
117	87298	208627
118	87818	207370
119	88466	206421
120	89332	205981
121	90020	205128
122	90813	204514
123	91421	203486
124	92120	202665
125	92851	201915
